Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Alaves vs. Girona,1.14,0.96,2.1,38.96%,31.63%,29.41%,156,216,240,270,100,254,0.44,-0.37,0.04,La Liga
Athletic Club vs. Osasuna,1.26,0.73,1.99,48.94%,20.92%,30.14%,104,378,231,-200,525,330,-0.27,0.31,0.3,La Liga
Granada vs. Real Madrid,0.86,1.28,2.14,25.20%,47.06%,27.74%,297,112,260,459,-196,359,0.41,-0.29,0.28,La Liga
Mallorca vs. Las Palmas,1.0,0.63,1.63,42.74%,22.97%,34.29%,134,334,192,-153,500,260,-0.29,0.38,0.23,La Liga
Villarreal vs. Sevilla,1.36,1.04,2.41,44.80%,28.31%,26.89%,123,252,272,-120,280,309,-0.18,0.08,0.1,La Liga
Atletico Madrid vs. Celta Vigo,3.04,1.06,4.1,77.17%,9.86%,12.97%,-333,914,671,-222,500,390,0.12,-0.41,-0.36,La Liga
Cadiz vs. Getafe,1.09,0.53,1.62,49.27%,18.02%,32.71%,102,455,206,110,275,220,0.03,-0.32,0.05,La Liga
Real Betis vs. Almeria,1.16,0.74,1.9,46.45%,23.54%,30.01%,114,325,233,-277,650,440,-0.37,0.77,0.62,La Liga
Valencia vs. Rayo Vallecano,0.98,0.6,1.58,43.57%,21.27%,35.16%,129,370,184,125,245,215,-0.02,-0.27,0.11,La Liga
Barcelona vs. Real Sociedad,1.7,1.03,2.73,52.70%,23.45%,23.85%,-111,326,319,-125,330,275,-0.05,0.01,-0.11,La Liga
Girona vs. Villarreal,2.91,1.54,4.45,65.54%,18.18%,16.28%,-188,450,514,-153,340,370,0.08,-0.2,-0.23,La Liga
Osasuna vs. Mallorca,0.84,0.95,1.79,30.54%,36.70%,32.76%,227,172,204,190,165,210,-0.11,-0.03,0.02,La Liga
Real Madrid vs. Alaves,2.0,0.39,2.39,75.76%,5.98%,18.26%,-312,1572,448,-312,800,459,0.0,-0.46,0.02,La Liga
Bournemouth vs. Brentford,1.78,1.63,3.42,41.97%,35.41%,22.62%,138,181,342,100,249,301,-0.16,0.24,-0.09,Premier League
Everton vs. Sheffield United,2.21,0.99,3.19,65.25%,15.91%,18.84%,-188,529,430,-238,600,418,-0.07,0.11,-0.02,Premier League
Fulham vs. Manchester City,0.92,1.63,2.56,21.35%,54.32%,24.33%,368,-119,311,1184,-454,602,1.74,-0.34,0.71,Premier League
Newcastle United vs. Brighton,3.17,0.66,3.83,86.06%,4.77%,9.17%,-625,1996,991,-163,376,388,0.39,-0.77,-0.55,Premier League
Nottingham Forest vs. Chelsea,1.7,1.29,2.99,47.31%,29.06%,23.63%,110,244,323,249,102,291,0.65,-0.41,-0.08,Premier League
Tottenham vs. Burnley,2.41,1.51,3.93,57.34%,23.51%,19.15%,-135,325,422,-277,606,498,-0.22,0.66,0.15,Premier League
West Ham vs. Luton,1.84,1.35,3.19,48.54%,29.04%,22.42%,106,244,346,-120,273,349,-0.11,0.08,0.01,Premier League
Wolverhampton Wanderers vs. Crystal Palace,0.88,1.04,1.92,30.12%,38.11%,31.77%,231,162,215,188,149,250,-0.13,-0.05,0.12,Premier League
Manchester United vs. Arsenal,0.93,3.11,4.04,7.89%,80.71%,11.40%,1167,-416,777,590,-250,455,-0.46,0.13,-0.37,Premier League
Aston Villa vs. Liverpool,0.97,2.67,3.64,11.42%,72.56%,16.02%,776,-263,524,301,-136,380,-0.54,0.26,-0.23,Premier League
Tottenham vs. Manchester City,1.4,1.78,3.18,31.34%,46.16%,22.50%,219,117,344,499,-232,411,0.88,-0.34,0.15,Premier League
Frosinone vs. Inter,0.72,2.93,3.66,6.62%,82.11%,11.27%,1411,-454,786,400,-169,350,-0.67,0.31,-0.49,Serie A
AC Milan vs. Cagliari,1.73,0.63,2.36,63.99%,13.23%,22.78%,-178,656,338,-243,575,420,-0.1,-0.11,0.18,Serie A
Napoli vs. Bologna,1.13,2.07,3.2,20.26%,59.10%,20.64%,394,-144,384,110,245,250,-0.57,1.04,-0.28,Serie A
Atalanta vs. Roma,2.84,1.63,4.47,62.79%,19.98%,17.23%,-169,401,480,100,265,260,0.26,-0.27,-0.38,Serie A
Genoa vs. Sassuolo,2.22,0.69,2.91,73.23%,9.78%,16.99%,-270,922,488,120,220,254,0.61,-0.69,-0.4,Serie A
Juventus vs. Salernitana,2.63,0.36,2.99,85.34%,3.25%,11.41%,-588,2977,776,-666,1400,725,-0.02,-0.51,-0.06,Serie A
Lazio vs. Empoli,1.98,0.5,2.48,73.11%,7.86%,19.03%,-270,1172,425,-163,459,300,0.18,-0.56,-0.24,Serie A
Verona vs. Torino,0.92,1.57,2.49,22.17%,52.65%,25.18%,351,-111,297,200,154,204,-0.33,0.34,-0.23,Serie A
Fiorentina vs. Monza,2.26,1.33,3.59,57.97%,21.95%,20.08%,-136,355,398,-175,440,330,-0.09,0.19,-0.14,Serie A
Lecce vs. Udinese,1.09,1.13,2.21,34.35%,36.57%,29.08%,191,173,244,145,200,225,-0.16,0.1,-0.05,Serie A
Augsburg vs. VfB Stuttgart,1.0,2.05,3.04,17.20%,62.65%,20.15%,480,-166,396,280,-120,320,-0.35,0.15,-0.15,Bundesliga
Borussia M.Gladbach vs. Eintracht Frankfurt,2.33,1.31,3.64,60.09%,20.41%,19.50%,-151,390,413,150,170,265,0.5,-0.45,-0.29,Bundesliga
FC Cologne vs. Union Berlin,0.61,1.34,1.95,16.93%,54.28%,28.79%,491,-119,247,185,150,235,-0.52,0.36,-0.04,Bundesliga
Freiburg vs. FC Heidenheim,0.99,1.87,2.86,19.31%,58.35%,22.34%,418,-140,348,-140,340,309,-0.67,1.57,-0.08,Bundesliga
Mainz 05 vs. Borussia Dortmund,1.83,1.16,2.99,53.30%,23.64%,23.06%,-113,323,334,125,195,275,0.2,-0.3,-0.14,Bundesliga
RasenBallsport Leipzig vs. Werder Bremen,2.49,0.65,3.14,77.76%,7.82%,14.42%,-344,1179,593,-344,750,525,0.0,-0.34,-0.1,Bundesliga
Bayern Munich vs. Wolfsburg,2.54,0.63,3.17,78.98%,7.32%,13.70%,-370,1266,630,-277,575,475,0.07,-0.51,-0.21,Bundesliga
Bochum vs. Bayer Leverkusen,0.83,2.7,3.53,9.22%,75.89%,14.89%,985,-312,572,340,-144,330,-0.59,0.28,-0.36,Bundesliga
Darmstadt vs. Hoffenheim,1.73,2.11,3.84,32.40%,47.31%,20.29%,209,110,393,350,-161,370,0.46,-0.23,-0.05,Bundesliga
Brest vs. Reims,1.83,1.41,3.24,47.78%,29.31%,22.91%,108,241,336,-144,370,309,-0.19,0.38,-0.06,Ligue Une
Nice vs. Le Havre,1.95,1.19,3.14,55.50%,23.05%,21.45%,-125,334,366,-188,500,320,-0.15,0.38,-0.1,Ligue Une
Clermont Foot vs. Lyon,1.38,3.26,4.64,12.42%,73.99%,13.59%,705,-285,636,420,-169,350,-0.35,0.18,-0.39,Ligue Une
Marseille vs. Lorient,2.57,0.94,3.51,72.96%,11.21%,15.83%,-270,792,532,-250,600,420,0.02,-0.22,-0.18,Ligue Une
Montpellier vs. Monaco,1.84,2.85,4.69,23.08%,60.00%,16.92%,333,-149,491,270,-120,320,-0.15,0.1,-0.29,Ligue Une
Nantes vs. Lille,0.64,1.75,2.4,13.02%,64.79%,22.19%,668,-185,351,290,-105,254,-0.49,0.26,-0.21,Ligue Une
Paris Saint Germain vs. Toulouse,1.38,1.36,2.74,37.90%,35.77%,26.33%,164,179,280,-243,500,459,-0.47,1.15,0.47,Ligue Une
Rennes vs. Lens,1.77,1.91,3.68,36.13%,42.14%,21.73%,177,137,359,150,175,245,-0.1,0.16,-0.25,Ligue Une
Strasbourg vs. Metz,1.43,1.69,3.11,32.81%,43.60%,23.59%,204,129,324,120,215,265,-0.28,0.37,-0.14,Ligue Une
